timestamp,building,energy_kwh,water_m3,waste_kg,diverted_kg,landfill_kg,diversion_rate,is_injected_anomaly,anomaly_resource,anomaly_type
2026-01-01 00:00:00,Building_A,26.89,0.97,2.07,0.98,1.09,47.2,False,none,normal
2026-01-01 01:00:00,Building_A,25.85,0.75,0.56,0.31,0.25,54.9,False,none,normal
2026-01-01 02:00:00,Building_A,27.64,1.01,1.87,1.03,0.84,55.3,False,none,normal
2026-01-01 03:00:00,Building_A,35.56,0.87,0.5,0.28,0.22,56.5,False,none,normal
2026-01-01 04:00:00,Building_A,27.22,1.01,0.88,0.48,0.4,54.3,False,none,normal
2026-01-01 05:00:00,Building_A,28.33,1.13,0.75,0.4,0.35,53.3,False,none,normal
2026-01-01 06:00:00,Building_A,78.44,4.18,15.47,8.76,6.71,56.7,False,none,normal
2026-01-01 07:00:00,Building_A,81.58,4.74,14.54,7.7,6.84,53.0,False,none,normal
2026-01-01 08:00:00,Building_A,134.27,8.2,40.81,22.26,18.55,54.5,False,none,normal
2026-01-01 09:00:00,Building_A,134.16,7.7,40.24,23.33,16.91,58.0,False,none,normal
2026-01-01 10:00:00,Building_A,139.7,7.75,39.74,22.04,17.7,55.5,False,none,normal
2026-01-01 11:00:00,Building_A,138.4,8.29,39.73,22.93,16.8,57.7,False,none,normal
2026-01-01 12:00:00,Building_A,137.8,8.09,40.21,19.77,20.44,49.2,False,none,normal
2026-01-01 13:00:00,Building_A,136.25,7.82,38.69,20.85,17.84,53.9,False,none,normal
2026-01-01 14:00:00,Building_A,143.5,7.68,40.62,19.61,21.01,48.3,False,none,normal
2026-01-01 15:00:00,Building_A,136.19,8.04,40.16,23.23,16.93,57.8,False,none,normal
2026-01-01 16:00:00,Building_A,140.7,7.86,38.9,22.73,16.17,58.4,False,none,normal
2026-01-01 17:00:00,Building_A,136.76,7.54,38.1,19.55,18.55,51.3,False,none,normal
2026-01-01 18:00:00,Building_A,139.51,8.04,40.29,21.47,18.82,53.3,False,none,normal
2026-01-01 19:00:00,Building_A,80.49,4.21,14.66,8.33,6.33,56.8,False,none,normal
2026-01-01 20:00:00,Building_A,77.21,3.87,14.57,7.32,7.25,50.2,False,none,normal
2026-01-01 21:00:00,Building_A,81.8,3.83,15.05,8.57,6.48,56.9,False,none,normal
2026-01-01 22:00:00,Building_A,81.64,4.23,14.91,7.95,6.96,53.3,False,none,normal
2026-01-01 23:00:00,Building_A,30.74,0.2,0.5,0.25,0.25,49.7,False,none,normal
2026-01-02 00:00:00,Building_A,27.07,0.84,0.5,0.27,0.23,53.5,False,none,normal
2026-01-02 01:00:00,Building_A,36.25,0.58,1.82,0.93,0.89,51.3,False,none,normal
2026-01-02 02:00:00,Building_A,30.23,0.37,0.53,0.31,0.22,58.4,False,none,normal
2026-01-02 03:00:00,Building_A,24.14,0.86,1.22,0.64,0.58,52.6,False,none,normal
2026-01-02 04:00:00,Building_A,25.27,0.73,0.5,0.28,0.22,55.9,False,none,normal
2026-01-02 05:00:00,Building_A,31.14,1.27,0.65,0.33,0.32,50.9,False,none,normal
2026-01-02 06:00:00,Building_A,80.57,4.07,16.66,9.72,6.94,58.3,False,none,normal
2026-01-02 07:00:00,Building_A,81.28,4.5,13.6,7.13,6.47,52.4,False,none,normal
2026-01-02 08:00:00,Building_A,133.82,7.85,37.8,21.75,16.05,57.5,False,none,normal
2026-01-02 09:00:00,Building_A,136.64,7.47,38.24,21.51,16.73,56.3,False,none,normal
2026-01-02 10:00:00,Building_A,140.88,8.68,42.95,24.33,18.62,56.7,False,none,normal
