timestamp,building,energy_kwh
2026-01-01 00:00:00,Building_A,52.5
2026-01-01 01:00:00,Building_A,61.45
2026-01-01 02:00:00,Building_A,62.4
2026-01-01 03:00:00,Building_A,47.94
2026-01-01 04:00:00,Building_A,51.19
2026-01-01 05:00:00,Building_A,58.34
2026-01-01 06:00:00,Building_A,56.12
2026-01-01 07:00:00,Building_A,57.61
2026-01-01 08:00:00,Building_A,128.88
2026-01-01 09:00:00,Building_A,137.55
2026-01-01 10:00:00,Building_A,137.04
2026-01-01 11:00:00,Building_A,133.48
2026-01-01 12:00:00,Building_A,138.79
2026-01-01 13:00:00,Building_A,135.49
2026-01-01 14:00:00,Building_A,128.85
2026-01-01 15:00:00,Building_A,134.99
2026-01-01 16:00:00,Building_A,128.36
2026-01-01 17:00:00,Building_A,137.54
2026-01-01 18:00:00,Building_A,132.9
2026-01-01 19:00:00,Building_A,56.77
2026-01-01 20:00:00,Building_A,54.29
2026-01-01 21:00:00,Building_A,63.81
2026-01-01 22:00:00,Building_A,56.93
2026-01-01 23:00:00,Building_A,55.56
2026-01-02 00:00:00,Building_A,55.94
2026-01-02 01:00:00,Building_A,60.36
2026-01-02 02:00:00,Building_A,59.53
2026-01-02 03:00:00,Building_A,59.76
2026-01-02 04:00:00,Building_A,59.85
2026-01-02 05:00:00,Building_A,68.41
2026-01-02 06:00:00,Building_A,55.67
2026-01-02 07:00:00,Building_A,55.14
2026-01-02 08:00:00,Building_A,129.08
2026-01-02 09:00:00,Building_A,136.23
2026-01-02 10:00:00,Building_A,138.79
2026-01-02 11:00:00,Building_A,132.58
2026-01-02 12:00:00,Building_A,128.95
2026-01-02 13:00:00,Building_A,129.03
2026-01-02 14:00:00,Building_A,136.4
2026-01-02 15:00:00,Building_A,136.87
2026-01-02 16:00:00,Building_A,135.87
2026-01-02 17:00:00,Building_A,129.82
2026-01-02 18:00:00,Building_A,134.31
2026-01-02 19:00:00,Building_A,58.28
2026-01-02 20:00:00,Building_A,58.79
2026-01-02 21:00:00,Building_A,62.06
2026-01-02 22:00:00,Building_A,58.82
2026-01-02 23:00:00,Building_A,61.09
2026-01-03 00:00:00,Building_A,58.04
2026-01-03 01:00:00,Building_A,59.14
2026-01-03 02:00:00,Building_A,60.85
2026-01-03 03:00:00,Building_A,50.41
2026-01-03 04:00:00,Building_A,56.1
2026-01-03 05:00:00,Building_A,55.35
2026-01-03 06:00:00,Building_A,54.5
2026-01-03 07:00:00,Building_A,56.32
2026-01-03 08:00:00,Building_A,65.17
2026-01-03 09:00:00,Building_A,53.37
2026-01-03 10:00:00,Building_A,62.54
2026-01-03 11:00:00,Building_A,49.28
2026-01-03 12:00:00,Building_A,56.02
2026-01-03 13:00:00,Building_A,58.51
2026-01-03 14:00:00,Building_A,60.63
2026-01-03 15:00:00,Building_A,61.25
2026-01-03 16:00:00,Building_A,61.67
2026-01-03 17:00:00,Building_A,55.95
2026-01-03 18:00:00,Building_A,55.39
2026-01-03 19:00:00,Building_A,61.99
2026-01-03 20:00:00,Building_A,56.74
2026-01-03 21:00:00,Building_A,51.32
2026-01-03 22:00:00,Building_A,52.03
2026-01-03 23:00:00,Building_A,53.1
2026-01-04 00:00:00,Building_A,60.18
2026-01-04 01:00:00,Building_A,58.41
2026-01-04 02:00:00,Building_A,61.15
2026-01-04 03:00:00,Building_A,55.56
2026-01-04 04:00:00,Building_A,58.49
2026-01-04 05:00:00,Building_A,60.83
2026-01-04 06:00:00,Building_A,56.15
2026-01-04 07:00:00,Building_A,59.98
2026-01-04 08:00:00,Building_A,54.39
2026-01-04 09:00:00,Building_A,55.88
2026-01-04 10:00:00,Building_A,55.79
2026-01-04 11:00:00,Building_A,51.72
2026-01-04 12:00:00,Building_A,60.13
2026-01-04 13:00:00,Building_A,55.35
2026-01-04 14:00:00,Building_A,57.76
2026-01-04 15:00:00,Building_A,60.1
2026-01-04 16:00:00,Building_A,59.93
2026-01-04 17:00:00,Building_A,61.03
2026-01-04 18:00:00,Building_A,57.21
2026-01-04 19:00:00,Building_A,55.58
2026-01-04 20:00:00,Building_A,57.3
2026-01-04 21:00:00,Building_A,49.26
2026-01-04 22:00:00,Building_A,50.46
2026-01-04 23:00:00,Building_A,51.08
2026-01-05 00:00:00,Building_A,52.71
2026-01-05 01:00:00,Building_A,59.7
2026-01-05 02:00:00,Building_A,53.17
2026-01-05 03:00:00,Building_A,55.81
2026-01-05 04:00:00,Building_A,64.19
2026-01-05 05:00:00,Building_A,55.92
2026-01-05 06:00:00,Building_A,61.39
2026-01-05 07:00:00,Building_A,53.03
2026-01-05 08:00:00,Building_A,132.12
2026-01-05 09:00:00,Building_A,128.4
2026-01-05 10:00:00,Building_A,131.45
2026-01-05 11:00:00,Building_A,137.35
2026-01-05 12:00:00,Building_A,124.51
2026-01-05 13:00:00,Building_A,135.32
2026-01-05 14:00:00,Building_A,134.34
2026-01-05 15:00:00,Building_A,130.18
2026-01-05 16:00:00,Building_A,125.92
2026-01-05 17:00:00,Building_A,133.51
2026-01-05 18:00:00,Building_A,130.5
2026-01-05 19:00:00,Building_A,58.86
2026-01-05 20:00:00,Building_A,57.81
2026-01-05 21:00:00,Building_A,65.71
2026-01-05 22:00:00,Building_A,56.5
2026-01-05 23:00:00,Building_A,52.58
2026-01-06 00:00:00,Building_A,58.59
2026-01-06 01:00:00,Building_A,58.8
2026-01-06 02:00:00,Building_A,64.49
2026-01-06 03:00:00,Building_A,61.87
2026-01-06 04:00:00,Building_A,59.48
2026-01-06 05:00:00,Building_A,65.01
2026-01-06 06:00:00,Building_A,51.75
2026-01-06 07:00:00,Building_A,54.5
2026-01-06 08:00:00,Building_A,128.52
2026-01-06 09:00:00,Building_A,131.2
2026-01-06 10:00:00,Building_A,126.27
2026-01-06 11:00:00,Building_A,136.33
2026-01-06 12:00:00,Building_A,132.04
2026-01-06 13:00:00,Building_A,125.8
2026-01-06 14:00:00,Building_A,128.07
2026-01-06 15:00:00,Building_A,134.72
2026-01-06 16:00:00,Building_A,137.34
2026-01-06 17:00:00,Building_A,143.13
2026-01-06 18:00:00,Building_A,147.72
2026-01-06 19:00:00,Building_A,59.77
2026-01-06 20:00:00,Building_A,52.75
2026-01-06 21:00:00,Building_A,47.04
2026-01-06 22:00:00,Building_A,59.04
2026-01-06 23:00:00,Building_A,53.63
2026-01-07 00:00:00,Building_A,55.62
2026-01-07 01:00:00,Building_A,54.64
2026-01-07 02:00:00,Building_A,56.99
2026-01-07 03:00:00,Building_A,63.03
2026-01-07 04:00:00,Building_A,58.48
2026-01-07 05:00:00,Building_A,56.91
2026-01-07 06:00:00,Building_A,52.52
2026-01-07 07:00:00,Building_A,49.32
2026-01-07 08:00:00,Building_A,130.72
2026-01-07 09:00:00,Building_A,132.88
2026-01-07 10:00:00,Building_A,141.99
2026-01-07 11:00:00,Building_A,133.8
2026-01-07 12:00:00,Building_A,138.06
2026-01-07 13:00:00,Building_A,130.65
2026-01-07 14:00:00,Building_A,127.23
2026-01-07 15:00:00,Building_A,128.32
2026-01-07 16:00:00,Building_A,129.52
2026-01-07 17:00:00,Building_A,143.79
2026-01-07 18:00:00,Building_A,129.04
2026-01-07 19:00:00,Building_A,61.89
2026-01-07 20:00:00,Building_A,53.18
2026-01-07 21:00:00,Building_A,62.36
2026-01-07 22:00:00,Building_A,59.62
2026-01-07 23:00:00,Building_A,56.92
2026-01-08 00:00:00,Building_A,57.49
2026-01-08 01:00:00,Building_A,54.42
2026-01-08 02:00:00,Building_A,59.93
2026-01-08 03:00:00,Building_A,55.42
2026-01-08 04:00:00,Building_A,51.57
2026-01-08 05:00:00,Building_A,51.31
2026-01-08 06:00:00,Building_A,58.56
2026-01-08 07:00:00,Building_A,65.59
2026-01-08 08:00:00,Building_A,133.95
2026-01-08 09:00:00,Building_A,132.56
2026-01-08 10:00:00,Building_A,134.58
2026-01-08 11:00:00,Building_A,139.68
2026-01-08 12:00:00,Building_A,134.25
2026-01-08 13:00:00,Building_A,131.1
2026-01-08 14:00:00,Building_A,138.68
2026-01-08 15:00:00,Building_A,135.29
2026-01-08 16:00:00,Building_A,140.83
2026-01-08 17:00:00,Building_A,134.07
2026-01-08 18:00:00,Building_A,127.03
2026-01-08 19:00:00,Building_A,50.86
2026-01-08 20:00:00,Building_A,65.95
2026-01-08 21:00:00,Building_A,66.32
2026-01-08 22:00:00,Building_A,56.8
2026-01-08 23:00:00,Building_A,55.78
2026-01-09 00:00:00,Building_A,65.01
2026-01-09 01:00:00,Building_A,52.16
